# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.10	13.48	4.978007e-04	4.847804e-04
0.10	13.52	4.994254e-04	4.868097e-04
0.10	13.56	5.011575e-04	4.889339e-04
0.10	13.60	5.029938e-04	4.911501e-04
0.10	13.64	5.049299e-04	4.934542e-04
0.10	13.68	5.069634e-04	4.958444e-04
0.10	13.72	5.090830e-04	4.983080e-04
0.10	13.76	5.112782e-04	5.008366e-04
0.10	13.80	5.135456e-04	5.034263e-04
0.10	13.84	5.158696e-04	5.060616e-04
0.10	13.88	5.182435e-04	5.087370e-04
0.10	13.92	5.206598e-04	5.114446e-04
0.10	13.96	5.231082e-04	5.141748e-04
0.10	14.00	5.255814e-04	5.169208e-04
0.10	14.04	5.280768e-04	5.196806e-04
0.10	14.08	5.305893e-04	5.224488e-04
0.10	14.12	5.331185e-04	5.252277e-04
0.10	14.16	5.356782e-04	5.280299e-04
0.10	14.20	5.382662e-04	5.308533e-04
0.10	14.24	5.408930e-04	5.337098e-04
0.10	14.28	5.435640e-04	5.366036e-04
0.10	14.32	5.462761e-04	5.395307e-04
0.10	14.36	5.490168e-04	5.424791e-04
0.10	14.40	5.517814e-04	5.454446e-04
0.10	14.44	5.545566e-04	5.484125e-04
0.10	14.48	5.573293e-04	5.513717e-04
0.10	14.52	5.600863e-04	5.543021e-04
0.10	14.56	5.626798e-04	5.570468e-04
0.10	14.60	5.649977e-04	5.595030e-04
0.10	14.64	5.669106e-04	5.615306e-04
0.10	14.68	5.682282e-04	5.629410e-04
0.10	14.72	5.687402e-04	5.635180e-04
0.10	14.76	5.680346e-04	5.628110e-04
0.10	14.80	5.654701e-04	5.601798e-04
0.10	14.84	5.603376e-04	5.549223e-04
0.10	14.88	5.521416e-04	5.465460e-04
0.10	14.92	5.399922e-04	5.341134e-04
0.10	14.96	5.229627e-04	5.167443e-04
0.10	15.00	5.000178e-04	4.933667e-04
0.10	15.04	4.727127e-04	4.661276e-04
0.10	15.08	4.434388e-04	4.369094e-04
0.10	15.12	4.120772e-04	4.055936e-04
0.10	15.16	3.790616e-04	3.727517e-04
0.10	15.20	3.451106e-04	3.389737e-04
0.10	15.24	3.103213e-04	3.044347e-04
0.10	15.28	2.761231e-04	2.706049e-04
0.10	15.32	2.429234e-04	2.377556e-04
0.10	15.36	2.111133e-04	2.064049e-04
0.10	15.40	1.815856e-04	1.773269e-04
0.10	15.44	1.542239e-04	1.504064e-04
0.10	15.48	1.295326e-04	1.261937e-04
0.10	15.52	1.075548e-04	1.046393e-04
0.10	15.56	8.812549e-05	8.563536e-05
0.10	15.60	7.144326e-05	6.934179e-05
0.10	15.64	5.716126e-05	5.539599e-05
0.10	15.68	4.516527e-05	4.372471e-05
0.10	15.72	3.526514e-05	3.409177e-05
0.10	15.76	2.711777e-05	2.617816e-05
0.10	15.80	2.058818e-05	1.984865e-05
0.10	15.84	1.538537e-05	1.480485e-05
0.10	15.88	1.128207e-05	1.083840e-05
0.10	15.92	8.106405e-06	7.769372e-06
0.10	15.96	5.650632e-06	5.397815e-06
0.10	16.00	3.782723e-06	3.597083e-06
0.20	6.00	0.000000e+00	0.000000e+00
0.20	6.04	0.000000e+00	0.000000e+00
0.20	6.08	0.000000e+00	0.000000e+00
0.20	6.12	0.000000e+00	0.000000e+00
0.20	6.16	0.000000e+00	0.000000e+00
0.20	6.20	0.000000e+00	0.000000e+00
0.20	6.24	0.000000e+00	0.000000e+00
0.20	6.28	0.000000e+00	0.000000e+00
0.20	6.32	0.000000e+00	0.000000e+00
0.20	6.36	0.000000e+00	0.000000e+00
0.20	6.40	0.000000e+00	0.000000e+00
0.20	6.44	0.000000e+00	0.000000e+00
0.20	6.48	0.000000e+00	0.000000e+00
0.20	6.52	0.000000e+00	0.000000e+00
0.20	6.56	0.000000e+00	0.000000e+00
0.20	6.60	0.000000e+00	0.000000e+00
0.20	6.64	0.000000e+00	0.000000e+00
0.20	6.68	0.000000e+00	0.000000e+00
0.20	6.72	0.000000e+00	0.000000e+00
0.20	6.76	0.000000e+00	0.000000e+00
0.20	6.80	0.000000e+00	0.000000e+00
0.20	6.84	1.464557e-12	1.143507e-12
0.20	6.88	1.978039e-11	1.834035e-11
0.20	6.92	9.101251e-11	8.851820e-11
0.20	6.96	2.825383e-10	2.806476e-10
0.20	7.00	6.962399e-10	6.991512e-10
0.20	7.04	1.474517e-09	1.490424e-09
0.20	7.08	2.824318e-09	2.868176e-09
0.20	7.12	5.042846e-09	5.141464e-09
0.20	7.16	8.539822e-09	8.740192e-09
0.20	7.20	1.377116e-08	1.414716e-08
0.20	7.24	2.115596e-08	2.180498e-08
0.20	7.28	3.105678e-08	3.209411e-08
0.20	7.32	4.377810e-08	4.533357e-08
0.20	7.36	5.959261e-08	6.180808e-08
0.20	7.40	7.872084e-08	8.174237e-08
0.20	7.44	1.012660e-07	1.052284e-07
0.20	7.48	1.271634e-07	1.321646e-07
0.20	7.52	1.563591e-07	1.624397e-07
0.20	7.56	1.891054e-07	1.962559e-07
0.20	7.60	2.260636e-07	2.342369e-07
0.20	7.64	2.683338e-07	2.774590e-07
0.20	7.68	3.175162e-07	3.275196e-07
0.20	7.72	3.756629e-07	3.865022e-07
0.20	7.76	4.451856e-07	4.568922e-07
0.20	7.80	5.288557e-07	5.415806e-07
0.20	7.84	6.295527e-07	6.435866e-07
0.20	7.88	7.500173e-07	7.657804e-07
0.20	7.92	8.927986e-07	9.108093e-07
0.20	7.96	1.060102e-06	1.080957e-06
0.20	8.00	1.253758e-06	1.278117e-06
0.20	8.04	1.475477e-06	1.504003e-06
0.20	8.08	1.727085e-06	1.760368e-06
0.20	8.12	2.010068e-06	2.048567e-06
0.20	8.16	2.325014e-06	2.368960e-06
0.20	8.20	2.671344e-06	2.720619e-06
0.20	8.24	3.047058e-06	3.101113e-06
