7.07946e+19  8.30568 0.907219  121.122 0.0427769
6.91831e+19  8.14443 0.886034  124.952 0.0450924
6.76083e+19  7.92186 0.877373  120.696 0.0436036
6.60693e+19  8.11153 0.86729  123.496 0.0421632
6.45654e+19  8.05079 0.873868  120.024 0.0431424
6.30957e+19  7.87303 0.869566  122.091 0.0440896
6.16595e+19  7.83625 0.865619  123.225 0.0432859
6.0256e+19  7.86637 0.858599  122.734 0.0444285
5.88844e+19  7.88554 0.83341  123.414 0.0446962
5.7544e+19  7.77777 0.882603  121.119 0.0439558
5.62341e+19  7.61968 0.819306  122.173 0.0451431
5.49541e+19  7.36137 0.852295  120.428 0.0433152
5.37032e+19  7.34697 0.855196  123.51 0.0450631
5.24807e+19  7.41413 0.821181  123.899 0.0455496
5.12861e+19  7.38643 0.799704  126.979 0.0446062
5.01187e+19  7.18901 0.848735  121.255 0.0452889
4.89779e+19  7.16558 0.811337  125.169 0.0441331
