A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
21 	Ne     	10 	11 	0.0000  	3/2+          	-5.73170  	4    	STABLE                   	infinity                 	0.27%     	1       	        	            
22 	Ne     	10 	12 	0.0000  	0+            	-8.024700 	18   	STABLE                   	infinity                 	9.25%     	3       	        	            
23 	Ne     	10 	13 	0.0000  	5/2+          	-5.15400  	10   	37.24 S 12               	37.24                    	          	        	B-      	100.00      
24 	Ne     	10 	14 	0.0000  	0+            	-5.9516   	5    	3.38 M 2                 	202.8                    	          	        	B-      	100.00      
25 	Ne     	10 	15 	0.0000  	1/2+          	-2.06     	4    	602 MS 8                 	0.602                    	          	        	B-      	100.00      
26 	Ne     	10 	16 	0.0000  	0+            	0.479     	18   	197 MS 1                 	0.197                    	          	        	B-      	100.00      
26 	Ne     	10 	16 	0.0000  	0+            	0.479     	18   	197 MS 1                 	0.197                    	          	        	BN      	0.13        
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.04      	7    	31.5 MS 13               	0.0315                   	          	        	B-      	100.00      
27 	Ne     	10 	17 	0.0000  	(3/2+)        	7.04      	7    	31.5 MS 13               	0.0315                   	          	        	BN      	2.00        
28 	Ne     	10 	18 	0.0000  	0+            	11.29     	10   	18.9 MS 4                	0.0189                   	          	        	B-      	100.00      
28 	Ne     	10 	18 	0.0000  	0+            	11.29     	10   	18.9 MS 4                	0.0189                   	          	        	BN      	12.0        
28 	Ne     	10 	18 	0.0000  	0+            	11.29     	10   	18.9 MS 4                	0.0189                   	          	        	B-      	3.60        
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40     	10   	14.8 MS 3                	0.0148                   	          	        	B-      	100.00      
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40     	10   	14.8 MS 3                	0.0148                   	          	        	BN      	28.00       
29 	Ne     	10 	19 	0.0000  	(3/2+)        	18.40     	10   	14.8 MS 3                	0.0148                   	          	        	B2N     	4.00        
30 	Ne     	10 	20 	0.0000  	0+            	23.0      	3    	7.3 MS 3                 	0.0073                   	          	        	B-      	100.00      
30 	Ne     	10 	20 	0.0000  	0+            	23.0      	3    	7.3 MS 3                 	0.0073                   	          	        	BN      	13.00       
30 	Ne     	10 	20 	0.0000  	0+            	23.0      	3    	7.3 MS 3                 	0.0073                   	          	        	B-      	8.90        
31 	Ne     	10 	21 	0.0000  	              	30.8      	16   	3.4 MS 8                 	0.0034                   	          	        	B-      	100.00      
31 	Ne     	10 	21 	0.0000  	              	30.8      	16   	3.4 MS 8                 	0.0034                   	          	        	BN      	            
32 	Ne     	10 	22 	0.0000  	0+            	37.0      	5    	3.5 MS 9                 	0.0035                   	          	        	B-      	100.00      
32 	Ne     	10 	22 	0.0000  	0+            	37.0      	5    	3.5 MS 9                 	0.0035                   	          	        	BN      	            
33 	Ne     	10 	23 	0.0000  	              	46.0      	6    	180 NS LT                	1.8E-7                   	          	        	N       	            
34 	Ne     	10 	24 	0.0000  	0+            	52.8      	5    	60 NS GT                 	6.000000000000001E-8     	          	        	BN      	            
34 	Ne     	10 	24 	0.0000  	0+            	52.8      	5    	60 NS GT                 	6.000000000000001E-8     	          	        	B-      	            
18 	Na     	11 	7  	0.0000  	1-            	25.04     	17   	1.3E-21 S 4              	1.3E-21                  	          	        	P       	100.00      
19 	Na     	11 	8  	0.0000  	(5/2+)        	12.928    	12   	40 NS LT                 	4E-8                     	          	        	P       	            
20 	Na     	11 	9  	0.0000  	2+            	6.8502    	10   	447.9 MS 23              	0.448                    	          	        	EC      	100.00      
20 	Na     	11 	9  	0.0000  	2+            	6.8502    	10   	447.9 MS 23              	0.448                    	          	        	EA      	20.05       
21 	Na     	11 	10 	0.0000  	3/2+          	-2.1846   	3    	22.49 S 4                	22.49                    	          	        	EC      	100.00      
22 	Na     	11 	11 	0.0000  	3+            	-5.18150  	17   	2.6027 Y 10              	8.213E7                  	          	        	EC      	100.00      
23 	Na     	11 	12 	0.0000  	3/2+          	-9.5298000	18   	STABLE                   	infinity                 	100%      	        	        	            
24 	Na     	11 	13 	0.0000  	4+            	-8.41790  	4    	14.997 H 12              	53989.2                  	          	        	B-      	100.00      
25 	Na     	11 	14 	0.0000  	5/2+          	-9.3578   	12   	59.1 S 6                 	59.1                     	          	        	B-      	100.00      
26 	Na     	11 	15 	0.0000  	3+            	-6.861    	4    	1.07128 S 25             	1.0713                   	          	        	B-      	100.00      
27 	Na     	11 	16 	0.0000  	5/2+          	-5.518    	4    	301 MS 6                 	0.301                    	          	        	BN      	0.13        
27 	Na     	11 	16 	0.0000  	5/2+          	-5.518    	4    	301 MS 6                 	0.301                    	          	        	B-      	100.00      
28 	Na     	11 	17 	0.0000  	1+            	-0.988    	10   	30.5 MS 4                	0.0305                   	          	        	B-      	100.00      
28 	Na     	11 	17 	0.0000  	1+            	-0.988    	10   	30.5 MS 4                	0.0305                   	          	        	BN      	0.58        
29 	Na     	11 	18 	0.0000  	3/2+          	2.670     	12   	44.9 MS 12               	0.0449                   	          	        	B-      	100.00      
29 	Na     	11 	18 	0.0000  	3/2+          	2.670     	12   	44.9 MS 12               	0.0449                   	          	        	BN      	21.50       
30 	Na     	11 	19 	0.0000  	2+            	8.374     	23   	48 MS 2                  	0.048                    	          	        	B-      	100.00      
30 	Na     	11 	19 	0.0000  	2+            	8.374     	23   	48 MS 2                  	0.048                    	          	        	BN      	30.00       
30 	Na     	11 	19 	0.0000  	2+            	8.374     	23   	48 MS 2                  	0.048                    	          	        	B2N     	1.15        
30 	Na     	11 	19 	0.0000  	2+            	8.374     	23   	48 MS 2                  	0.048                    	          	        	BA      	5.5E-5      
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.54     	10   	17.0 MS 4                	0.017                    	          	        	B2N     	0.87        
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.54     	10   	17.0 MS 4                	0.017                    	          	        	B3N     	< 0.05      
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.54     	10   	17.0 MS 4                	0.017                    	          	        	B-      	100.00      
31 	Na     	11 	20 	0.0000  	3/2(+)        	12.54     	10   	17.0 MS 4                	0.017                    	          	        	BN      	37.00       
32 	Na     	11 	21 	0.0000  	(3-,4-)       	18.81     	12   	13.2 MS 4                	0.0132                   	          	        	B-      	100.00      
